" ";"Površina (ha)";" ";" ";" ";" ";" ";" ";"Število kmetijskih gospodarstev";" ";" ";" ";" ";" ";" "
" ";"2000";"2003";"2005";"2007";"2010";"2013";"2016";"2000";"2003";"2005";"2007";"2010";"2013";"2016"
"Vinogradi";16603;16556;16428;16085;16351;16234;15241;35129;28705;27337;27233;26328;26480;23041


