"Povr?ina, ?tevilo vinogradov in ?tevilo sadik po: VINORODNA DE?ELA IN"
"OKOLI?, VELIKOSTNI RAZREDI, LETO , MERITVE"

" ";" ";"2009";" ";" ";"2015";" ";" "
" ";" ";"Povr?ina (ha)";"?tevilo vinogradov";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo vinogradov";"?tevilo sadik (v 1000)"
"SLOVENIJA"
" ";"0,05 do < 0,10 ha";40.6;523;188.4;64.3;829;262.2
" ";"0,10 do < 0,20 ha";141.9;982;567.4;143.5;996;534.6
" ";"0,20 do < 0,30 ha";133.1;543;493.0;124.9;512;440.6
" ";"0,30 do < 0,50 ha";185.3;482;644.1;156.3;405;557.3
" ";"0,50 do < 1 ha";212.2;311;776.2;175.4;256;678.3
" ";"1 do < 2 ha";116.0;88;410.3;119.9;90;466.1
" ";"2 do < 3 ha";31.3;z;125.3;z;z;z
" ";"3 do < 5 ha";z;z;z;z;z;z
" ";"5 do < 10 ha";23.1;4;68.4;z;z;z
" ";"10 do < 20 ha";-;-;-;-;-;-
" ";"20 do < 30 ha";-;-;-;-;-;-
" ";">= 30 ha";-;-;-;-;-;-
"Posavje- Bela krajina"
" ";"SKUPAJ";366.7;2355;1529.2;370.6;2723;1514.3
" ";"< 0,05 ha";z;310;z;16.3;503;70.7
" ";"0,05 do < 0,10 ha";56.9;779;260.0;80.8;1093;342.0
" ";"0,10 do < 0,20 ha";112.2;817;463.8;100.6;722;395.9
" ";"0,20 do < 0,30 ha";49.7;206;194.0;46.9;194;179.9
" ";"0,30 do < 0,50 ha";61.1;z;241.4;51.4;z;206.9
" ";"0,50 do < 1 ha";37.4;55;150.5;33.1;z;139.6
" ";"1 do < 2 ha";z;z;98.2;24.6;z;105.2
" ";"2 do < 3 ha";12.0;z;50.6;z;z;z
" ";"3 do < 5 ha";z;z;z;z;z;z
" ";"5 do < 10 ha";-;-;-;z;z;z
" ";"10 do < 20 ha";-;-;-;-;-;-
" ";"20 do < 30 ha";-;-;-;-;-;-
" ";">= 30 ha";-;-;-;-;-;-
"Posavje- Dolenjska"
" ";"SKUPAJ";1471.7;8628;6380.9;1519.5;10173;6427.2
" ";"< 0,05 ha";27.5;790;153.8;46.7;1406;205.1
" ";"0,05 do < 0,10 ha";228.8;3023;1148.2;315.4;4219;1404.2
" ";"0,10 do < 0,20 ha";412.4;2952;1804.1;402.4;2885;1666.7
" ";"0,20 do < 0,30 ha";229.1;947;913.7;196.9;818;781.6
" ";"0,30 do < 0,50 ha";209.7;555;850.3;188.8;498;780.9
" ";"0,50 do < 1 ha";181.6;270;732.1;168.7;248;710.6
" ";"1 do < 2 ha";80.2;61;339.0;91.7;68;395.6
" ";"2 do < 3 ha";30.2;12;126.5;33.4;13;145.8
" ";"3 do < 5 ha";47.9;14;211.7;47.3;14;205.3
" ";"5 do < 10 ha";24.3;4;101.8;28.1;4;131.5
" ";"10 do < 20 ha";-;-;-;-;-;-
" ";"20 do < 30 ha";-;-;-;-;-;-
" ";">= 30 ha";-;-;-;-;-;-
"Primorje"
" ";"SKUPAJ";6642.7;12085;21342.2;6391.3;14076;21652.5
" ";"< 0,05 ha";z;353;z;z;915;z
" ";"0,05 do < 0,10 ha";86.5;1130;271.1;171.1;2226;522.8
" ";"0,10 do < 0,20 ha";404.5;2748;1229.5;503.1;3453;1529.9
" ";"0,20 do < 0,30 ha";484.4;1964;1488.9;506.7;2064;1581.2
" ";"0,30 do < 0,50 ha";905.4;2332;2864.9;847.1;2179;2775.0
